,word,score,topic
51354,规定 触犯,0.06479091341959188,0
13388,最高 判刑,0.05960764034602453,0
13398,可能 涉嫌,0.05960764034602453,0
51359,违反 中华人民共和国,0.05948445135936007,0
62526,刑法,0.05312360697837795,0
13397,涉嫌 违反,0.05287506787498673,0
51352,中华人民共和国 刑法,0.051409942237139954,0
62527,触犯,0.05011438932610115,0
58868,枪手,0.04155213070484434,0
62483,判刑,0.04001316290096122,0
96348,video,0.06332462780159454,1
90211,一手 video,0.06332462780159454,1
84215,晚安,0.05889352373574378,1
96719,科比,0.05686909524037491,1
72307,冬瓜 不是,0.0509404795873872,1
90210,video 视频,0.04580930521817478,1
74772,射洪,0.04482762203690074,1
84214,冬瓜,0.04330406157039984,1
81247,陈希,0.04279000285340525,1
72308,晚安 冬瓜,0.04075238366990976,1
86401,华尔街日报,0.10808992433226128,2
60409,孙小果,0.055337849575467654,2
87204,全国人大常委会,0.05257095709669427,2
59793,sci,0.046029176043948655,2
61511,职业技能,0.04393694076922371,2
85125,该报,0.038514800624139076,2
86393,宿主,0.03727238770077975,2
85304,当当网,0.03596960222405398,2
58313,村屯,0.033475764395599024,2
26810,sci 论文,0.033475764395599024,2
19669,外套,0.05392356322343653,3
18432,牺牲 人员,0.04109306728251022,3
19787,穿山甲,0.03997922200755217,3
19736,十三届,0.03997922200755217,3
13737,全国政协,0.03962266271859197,3
16663,接种,0.03690389723774047,3
19791,华尔街日报,0.03690389723774047,3
11304,声控,0.03625213478194119,3
10064,老年 患者,0.03625213478194119,3
9904,首批 轻症,0.03107325838452102,3
32606,置换,0.054922582955510925,4
32127,邢台市,0.04746730872912466,4
27541,孙小果,0.04746730872912466,4
21204,中国台湾地区,0.04307190618264758,4
22194,求职,0.04307190618264758,4
37564,中心 城区,0.0427205778562122,4
33064,外公,0.0427205778562122,4
32086,内丘县,0.040042308373087,4
9211,国内 生产总值,0.039666309912313444,4
21758,生产总值,0.039666309912313444,4
8672,正在 直播,0.33501376076738487,5
6295,关注 总台,0.28493741805064626,5
7391,直播 直播,0.24100149225090797,5
7079,直播 国务院,0.22495059319787866,5
7244,战疫 正在,0.21690134302581715,5
5403,发布会 今天下午,0.2041205011482989,5
8651,人民 直播,0.16388101473061742,5
5366,情况 新华网,0.13496083566050845,5
8643,关注 人民日报,0.1312211793654292,5
7142,直播 共同,0.12121100892086287,5
16063,鄂州市,0.38109809682043777,6
12366,潜江市,0.37775046602287626,6
16182,恩施州,0.33750165349252653,6
16026,仙桃市,0.3357823387189822,6
11549,仍在院,0.10953850302353106,6
10148,仍在院 治疗,0.10953850302353106,6
10149,目前 仍在院,0.10847502241165212,6
12038,宜昌市 荆州市,0.10234618537565614,6
13384,神农架林区 10,0.09025072710398768,6
12039,襄阳 宜昌市,0.08838988736988485,6
718,袋鼠 护理,0.07581521301901474,7
11605,袋鼠,0.07581521301901474,7
19270,早产儿,0.051559886033916126,7
13589,湖州市 南浔区,0.04296657169493011,7
15708,困难 学生,0.04296657169493011,7
12070,马萨诸塞州,0.04296657169493011,7
13657,南浔区,0.04296657169493011,7
20086,平稳 患者,0.04201927708989818,7
19104,绍兴,0.038669914525437096,7
19687,搜查,0.03759067300100699,7
24975,兰州市,0.09063105468300907,8
25380,车船,0.07525767772150704,8
20934,污水,0.07044278994233011,8
24361,车船 飞机,0.05789052132423618,8
24360,飞机 乘客,0.05210146919181257,8
24362,染病 车船,0.05210146919181257,8
24363,寻找 染病,0.05210146919181257,8
25260,扫帚,0.051569601388627415,8
20849,石家庄市,0.051569601388627415,8
17042,储存 仓库,0.049724322312233026,8
51557,金华市,0.13804011895712667,9
47833,病例 杭州市,0.13694456245746692,9
51556,台州市,0.11078074898763646,9
51872,嘉兴市,0.1051734239673346,9
51552,丽水市,0.1051734239673346,9
53617,病例 长沙市,0.10298231096801513,9
59475,株洲市,0.09640897197005673,9
59704,长沙市,0.08947675879770636,9
59467,娄底市,0.08874007647243858,9
59315,绍兴市,0.08724277461426655,9
